indices,lat,lon,year
-0.87795,27.75,-18.25,2016
-0.9051464,27.75,-17.75,2016
-0.7334138,27.75,-15.75,2016
-1.022531,27.75,-15.25,2016
-0.7488102,28.25,-17.25,2016
-0.4955346,28.25,-16.75,2016
-0.6631848,28.25,-16.25,2016
-0.6152142,28.25,-15.75,2016
-0.990145,28.25,-15.25,2016
-1.146447,28.25,-14.25,2016
-1.434752,28.25,-13.75,2016
-0.7404456,28.75,-17.75,2016
-0.7867128,28.75,-16.25,2016
-1.526178,28.75,-13.75,2016
-1.47032,29.25,-13.75,2016
-0.705721,36.25,-6.25,2016
-0.577015,36.25,-5.75,2016
-0.5964261,36.25,-5.25,2016
-0.5670347,36.75,-6.25,2016
-0.5805498,36.75,-5.75,2016
-0.5213406,36.75,-5.25,2016
-0.7382373,36.75,-4.75,2016
-1.133705,36.75,-4.25,2016
-1.333533,36.75,-3.75,2016
-1.370791,36.75,-3.25,2016
-1.787014,36.75,-2.75,2016
-1.916122,36.75,-2.25,2016
-1.948915,36.75,-1.75,2016
-0.4461234,37.25,-7.25,2016
-0.4856769,37.25,-6.75,2016
-0.4495407,37.25,-6.25,2016
-0.597631,37.25,-5.75,2016
-0.6909207,37.25,-5.25,2016
-0.7882879,37.25,-4.75,2016
-1.043361,37.25,-4.25,2016
-1.276422,37.25,-3.75,2016
-1.434009,37.25,-3.25,2016
-1.334304,37.25,-2.75,2016
-1.683686,37.25,-2.25,2016
-1.851733,37.25,-1.75,2016
-0.4674398,37.75,-7.25,2016
-0.4170885,37.75,-6.75,2016
-0.504764,37.75,-6.25,2016
-0.7655264,37.75,-5.75,2016
-0.732419,37.75,-5.25,2016
-0.8931733,37.75,-4.75,2016
-1.05206,37.75,-4.25,2016
-1.239967,37.75,-3.75,2016
-1.492394,37.75,-3.25,2016
-1.33802,37.75,-2.75,2016
-1.486194,37.75,-2.25,2016
-1.726131,37.75,-1.75,2016
-1.769814,37.75,-1.25,2016
-2.013553,37.75,-0.75,2016
-0.4039568,38.25,-7.25,2016
-0.3816159,38.25,-6.75,2016
-0.4854514,38.25,-6.25,2016
-0.5419614,38.25,-5.75,2016
-0.4540942,38.25,-5.25,2016
-0.5287432,38.25,-4.75,2016
-0.7876245,38.25,-4.25,2016
-0.9662393,38.25,-3.75,2016
-1.334439,38.25,-3.25,2016
-1.477296,38.25,-2.75,2016
-1.580349,38.25,-2.25,2016
-1.612901,38.25,-1.75,2016
-1.742523,38.25,-1.25,2016
-1.872962,38.25,-0.75,2016
-1.72199,38.25,-0.25,2016
-0.2497863,38.75,-6.75,2016
-0.3849869,38.75,-6.25,2016
-0.4138225,38.75,-5.75,2016
-0.09767245,38.75,-5.25,2016
-0.4525148,38.75,-4.75,2016
-0.44772,38.75,-4.25,2016
-0.6807533,38.75,-3.75,2016
-0.7900323,38.75,-3.25,2016
-1.274086,38.75,-2.75,2016
-1.094881,38.75,-2.25,2016
-1.408392,38.75,-1.75,2016
-1.49274,38.75,-1.25,2016
-1.445466,38.75,-0.75,2016
-1.61518,38.75,-0.25,2016
-1.483643,38.75,0.25,2016
-1.183513,38.75,1.25,2016
0.09412248,39.25,-6.75,2016
0.06576071,39.25,-6.25,2016
-0.03539798,39.25,-5.75,2016
-0.1270059,39.25,-5.25,2016
-0.02174226,39.25,-4.75,2016
-0.2311809,39.25,-4.25,2016
-0.4793196,39.25,-3.75,2016
-0.5817184,39.25,-3.25,2016
-0.6481898,39.25,-2.75,2016
-0.7894577,39.25,-2.25,2016
-1.020978,39.25,-1.75,2016
-0.9963565,39.25,-1.25,2016
-1.222734,39.25,-0.75,2016
-1.217126,39.25,-0.25,2016
-0.9558135,39.25,1.25,2016
-1.023603,39.25,1.75,2016
-0.8903007,39.25,2.75,2016
-0.9515207,39.25,3.25,2016
0.5290787,39.75,-7.25,2016
0.4474587,39.75,-6.75,2016
0.3865488,39.75,-6.25,2016
0.126759,39.75,-5.75,2016
0.1169505,39.75,-5.25,2016
0.03511209,39.75,-4.75,2016
-0.05160346,39.75,-4.25,2016
-0.1513469,39.75,-3.75,2016
-0.4247329,39.75,-3.25,2016
-0.452366,39.75,-2.75,2016
-0.4108491,39.75,-2.25,2016
-0.5390497,39.75,-1.75,2016
-0.7732031,39.75,-1.25,2016
-0.8353085,39.75,-0.75,2016
-1.021821,39.75,-0.25,2016
-1.125837,39.75,2.25,2016
-1.062243,39.75,2.75,2016
-0.7754765,39.75,3.25,2016
-0.6926149,39.75,3.75,2016
-0.7025056,39.75,4.25,2016
0.6320074,40.25,-6.75,2016
0.5763785,40.25,-6.25,2016
0.584509,40.25,-5.75,2016
0.454918,40.25,-5.25,2016
0.1303292,40.25,-4.75,2016
-0.04059707,40.25,-4.25,2016
-0.1098068,40.25,-3.75,2016
-0.09876823,40.25,-3.25,2016
-0.3703381,40.25,-2.75,2016
-0.4222136,40.25,-2.25,2016
-0.829034,40.25,-1.75,2016
-1.054611,40.25,-1.25,2016
-1.309787,40.25,-0.75,2016
-1.584938,40.25,-0.25,2016
-1.562158,40.25,0.25,2016
-1.084826,40.25,3.75,2016
-1.06263,40.25,4.25,2016
0.7385582,40.75,-6.75,2016
0.5005273,40.75,-6.25,2016
0.3617518,40.75,-5.75,2016
0.1754196,40.75,-5.25,2016
-0.4832613,40.75,-4.75,2016
-0.2444551,40.75,-4.25,2016
-0.1984794,40.75,-3.75,2016
-0.5899237,40.75,-3.25,2016
-0.8332549,40.75,-2.75,2016
-0.8628941,40.75,-2.25,2016
-0.7079076,40.75,-1.75,2016
-1.113341,40.75,-1.25,2016
-1.353399,40.75,-0.75,2016
-1.320776,40.75,-0.25,2016
-1.395925,40.75,0.25,2016
-1.510959,40.75,0.75,2016
0.06356941,41.25,-6.25,2016
-0.3241172,41.25,-5.75,2016
-0.3682415,41.25,-5.25,2016
-0.5187996,41.25,-4.75,2016
-0.359227,41.25,-4.25,2016
-0.3497465,41.25,-3.75,2016
-0.1924542,41.25,-3.25,2016
-0.7109956,41.25,-2.75,2016
-0.8076199,41.25,-2.25,2016
-1.152296,41.25,-1.75,2016
-1.28852,41.25,-1.25,2016
