indices,lat,lon,year
-0.2194875,27.75,-18.25,2050
-0.2262866,27.75,-17.75,2050
-0.18335345,27.75,-15.75,2050
-0.25563275,27.75,-15.25,2050
-0.18720255,28.25,-17.25,2050
-0.12388365,28.25,-16.75,2050
-0.1657962,28.25,-16.25,2050
-0.15380355,28.25,-15.75,2050
-0.24753625,28.25,-15.25,2050
-0.28661175,28.25,-14.25,2050
-0.358688,28.25,-13.75,2050
-0.1851114,28.75,-17.75,2050
-0.1966782,28.75,-16.25,2050
-0.3815445,28.75,-13.75,2050
-0.36758,29.25,-13.75,2050
-0.17643025,36.25,-6.25,2050
-0.14425375,36.25,-5.75,2050
-0.149106525,36.25,-5.25,2050
-0.141758675,36.75,-6.25,2050
-0.14513745,36.75,-5.75,2050
-0.13033515,36.75,-5.25,2050
-0.184559325,36.75,-4.75,2050
-0.28342625,36.75,-4.25,2050
-0.33338325,36.75,-3.75,2050
-0.34269775,36.75,-3.25,2050
-0.4467535,36.75,-2.75,2050
-0.4790305,36.75,-2.25,2050
-0.48722875,36.75,-1.75,2050
-0.11153085,37.25,-7.25,2050
-0.121419225,37.25,-6.75,2050
-0.112385175,37.25,-6.25,2050
-0.14940775,37.25,-5.75,2050
-0.172730175,37.25,-5.25,2050
-0.197071975,37.25,-4.75,2050
-0.26084025,37.25,-4.25,2050
-0.3191055,37.25,-3.75,2050
-0.35850225,37.25,-3.25,2050
-0.333576,37.25,-2.75,2050
-0.4209215,37.25,-2.25,2050
-0.46293325,37.25,-1.75,2050
-0.11685995,37.75,-7.25,2050
-0.104272125,37.75,-6.75,2050
-0.126191,37.75,-6.25,2050
-0.1913816,37.75,-5.75,2050
-0.18310475,37.75,-5.25,2050
-0.223293325,37.75,-4.75,2050
-0.263015,37.75,-4.25,2050
-0.30999175,37.75,-3.75,2050
-0.3730985,37.75,-3.25,2050
-0.334505,37.75,-2.75,2050
-0.3715485,37.75,-2.25,2050
-0.43153275,37.75,-1.75,2050
-0.4424535,37.75,-1.25,2050
-0.50338825,37.75,-0.75,2050
-0.1009892,38.25,-7.25,2050
-0.095403975,38.25,-6.75,2050
-0.12136285,38.25,-6.25,2050
-0.13549035,38.25,-5.75,2050
-0.11352355,38.25,-5.25,2050
-0.1321858,38.25,-4.75,2050
-0.196906125,38.25,-4.25,2050
-0.241559825,38.25,-3.75,2050
-0.33360975,38.25,-3.25,2050
-0.369324,38.25,-2.75,2050
-0.39508725,38.25,-2.25,2050
-0.40322525,38.25,-1.75,2050
-0.43563075,38.25,-1.25,2050
-0.4682405,38.25,-0.75,2050
-0.4304975,38.25,-0.25,2050
-0.062446575,38.75,-6.75,2050
-0.096246725,38.75,-6.25,2050
-0.103455625,38.75,-5.75,2050
-0.024418113,38.75,-5.25,2050
-0.1131287,38.75,-4.75,2050
-0.11193,38.75,-4.25,2050
-0.170188325,38.75,-3.75,2050
-0.197508075,38.75,-3.25,2050
-0.3185215,38.75,-2.75,2050
-0.27372025,38.75,-2.25,2050
-0.352098,38.75,-1.75,2050
-0.373185,38.75,-1.25,2050
-0.3613665,38.75,-0.75,2050
-0.403795,38.75,-0.25,2050
-0.37091075,38.75,0.25,2050
-0.29587825,38.75,1.25,2050
0.02353062,39.25,-6.75,2050
0.016440178,39.25,-6.25,2050
-0.008849495,39.25,-5.75,2050
-0.031751475,39.25,-5.25,2050
-0.005435565,39.25,-4.75,2050
-0.057795225,39.25,-4.25,2050
-0.1198299,39.25,-3.75,2050
-0.1454296,39.25,-3.25,2050
-0.16204745,39.25,-2.75,2050
-0.197364425,39.25,-2.25,2050
-0.2552445,39.25,-1.75,2050
-0.249089125,39.25,-1.25,2050
-0.3056835,39.25,-0.75,2050
-0.3042815,39.25,-0.25,2050
-0.238953375,39.25,1.25,2050
-0.25590075,39.25,1.75,2050
-0.222575175,39.25,2.75,2050
-0.237880175,39.25,3.25,2050
0.132269675,39.75,-7.25,2050
0.111864675,39.75,-6.75,2050
0.0966372,39.75,-6.25,2050
0.03168975,39.75,-5.75,2050
0.029237625,39.75,-5.25,2050
0.008778023,39.75,-4.75,2050
-0.012900865,39.75,-4.25,2050
-0.037836725,39.75,-3.75,2050
